# n = 0.7 U  = 13.0 J = 3.250 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       -2.082000        0.699829        0.093872       -3.688239
       2       -2.176000        0.699829        0.055786       -3.604508
       3       -2.144000        0.699585        0.033691       -3.598768
       4       -2.152000        0.699097        0.020264       -3.593836
       5       -2.158000        0.699097        0.012695       -3.595538
       6       -2.151000        0.699585        0.008057       -3.596211
       7       -2.149000        0.700317        0.005005       -3.593708
       8       -2.143000        0.699829        0.003784       -3.587231
       9       -2.145000        0.700562        0.002930       -3.592399
      10       -2.136000        0.699097        0.002197       -3.583585
      11       -2.149000        0.699097        0.002197       -3.594442
      12       -2.149000        0.699097        0.002197       -3.594442
