#p	a_up	a_dn	b_up	b_dn	c_up	c_dn	NaN
0	0.818104	2.209270	0.818104	2.209270	-9.341789	-8.685127	
1	0.818405	2.209572	0.821116	2.212282	-9.337573	-8.680911	
2	0.819308	2.210475	0.830149	2.221316	-9.324926	-8.668264	
3	0.820813	2.211980	0.845199	2.236366	-9.303856	-8.647194	
4	0.822919	2.214086	0.866257	2.257423	-9.274375	-8.617713	
5	0.825624	2.216791	0.893308	2.284475	-9.236503	-8.579841	
6	0.828927	2.220094	0.926339	2.317505	-9.190260	-8.533598	
7	0.832826	2.223993	0.965327	2.356494	-9.135676	-8.479014	
8	0.837319	2.228485	1.010251	2.401418	-9.072783	-8.416121	
9	0.842402	2.233568	1.061082	2.452249	-9.001619	-8.344957	
10	0.848073	2.239239	1.117791	2.508958	-8.922227	-8.265565	
11	0.854328	2.245494	1.180343	2.571510	-8.834654	-8.177992	
12	0.861163	2.252330	1.248700	2.639867	-8.738954	-8.082292	
13	0.868576	2.259742	1.322822	2.713989	-8.635184	-7.978522	
14	0.876560	2.267726	1.402663	2.793830	-8.523406	-7.866744	
15	0.885111	2.276278	1.488176	2.879342	-8.403688	-7.747026	
16	0.894224	2.285391	1.579308	2.970475	-8.276103	-7.619441	
17	0.903894	2.295061	1.676006	3.067173	-8.140726	-7.484064	
18	0.914114	2.305281	1.778211	3.169378	-7.997639	-7.340977	
19	0.924879	2.316046	1.885861	3.277027	-7.846929	-7.190267	
20	0.936183	2.327349	1.998891	3.390058	-7.688687	-7.032025	
21	0.948017	2.339183	2.117234	3.508401	-7.523007	-6.866345	
22	0.960375	2.351542	2.240818	3.631984	-7.349990	-6.693328	
23	0.973250	2.364417	2.369568	3.760735	-7.169739	-6.513077	
24	0.986634	2.377801	2.503408	3.894574	-6.982364	-6.325702	
25	1.000519	2.391686	2.642256	4.033422	-6.787977	-6.131315	
26	1.014896	2.406063	2.786028	4.177195	-6.586695	-5.930033	
27	1.029757	2.420924	2.934640	4.325806	-6.378639	-5.721977	
28	1.045093	2.436260	3.087999	4.479166	-6.163936	-5.507274	
29	1.060895	2.452062	3.246015	4.637182	-5.942713	-5.286051	
30	1.077153	2.468319	3.408593	4.799759	-5.715105	-5.058443	
31	1.093857	2.485023	3.575633	4.966800	-5.481248	-4.824586	
32	1.110997	2.502164	3.747036	5.138203	-5.241284	-4.584622	
33	1.128563	2.519730	3.922698	5.313865	-4.995357	-4.338695	
34	1.146545	2.537712	4.102514	5.493681	-4.743615	-4.086953	
35	1.164931	2.556098	4.286375	5.677542	-4.486209	-3.829547	
36	1.183711	2.574877	4.474171	5.865338	-4.223295	-3.566633	
37	1.202872	2.594039	4.665788	6.056955	-3.955032	-3.298370	
38	1.222404	2.613571	4.861111	6.252277	-3.681580	-3.024918	
39	1.242296	2.633462	5.060022	6.451189	-3.403104	-2.746442	
40	1.262534	2.653700	5.262401	6.653568	-3.119773	-2.463111	
41	1.283106	2.674273	5.468128	6.859294	-2.831756	-2.175094	
42	1.304001	2.695168	5.677076	7.068243	-2.539228	-1.882566	
43	1.325206	2.716372	5.889122	7.280289	-2.242364	-1.585702	
44	1.346707	2.737874	6.104136	7.495303	-1.941344	-1.284682	
45	1.368492	2.759659	6.321990	7.713157	-1.636348	-0.979686	
46	1.390549	2.781715	6.542553	7.933720	-1.327561	-0.670899	
47	1.412862	2.804029	6.765691	8.156857	-1.015168	-0.358506	
48	1.435420	2.826587	6.991269	8.382436	-0.699357	-0.042695	
49	1.458209	2.849375	7.219153	8.610320	-0.380320	0.276342	
50	1.481214	2.872381	7.449205	8.840372	-0.058247	0.598415	
51	1.504422	2.895589	7.681286	9.072453	0.266666	0.923328	
52	1.527819	2.918986	7.915257	9.306424	0.594225	1.250887	
53	1.551391	2.942558	8.150976	9.542143	0.924232	1.580894	
54	1.575124	2.966290	8.388302	9.779469	1.256488	1.913150	
55	1.599003	2.990169	8.627091	10.018258	1.590793	2.247455	
56	1.623013	3.014180	8.867201	10.258367	1.926946	2.583608	
57	1.647142	3.038309	9.108485	10.499652	2.264744	2.921406	
58	1.671373	3.062540	9.350799	10.741966	2.603984	3.260646	
