#    itr              mu            ntot            mtot            etot
       1       56.907000        4.099609        0.268982      193.638412
       2       57.016000        4.099609        0.176697      193.920155
       3       57.061000        4.100098        0.125671      194.050993
       4       57.070000        4.099365        0.096008      194.080905
       5       57.077000        4.099121        0.075378      194.053393
       6       57.082000        4.099854        0.062073      194.095921
       7       57.096000        4.099365        0.054016      194.113466
       8       57.090000        4.099365        0.047913      194.092818
       9       57.087000        4.099121        0.042175      194.081783
      10       57.081000        4.099609        0.038269      194.099673
      11       57.090000        4.099365        0.034485      194.112114
      12       57.085000        4.099609        0.031189      194.114933
      13       57.090000        4.099121        0.028503      194.100628
      14       57.091000        4.099609        0.026794      194.104257
      15       57.093000        4.099365        0.026184      194.115872
      16       57.090000        4.099365        0.025696      194.103598
      17       57.091000        4.099609        0.025085      194.117684
      18       57.093000        4.099121        0.024841      194.102401
      19       57.088000        4.099121        0.024841      194.077397
      20       57.088000        4.099121        0.024841      194.077397
