#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
84	-8.353250	-8.312967	4.889323	4.929606	-0.057001	-0.020380	-2.538615	-2.498332	10.703958	10.744241	8.400652	8.437273	
85	-8.331748	-8.291465	5.104337	5.144621	0.244019	0.280640	-2.753629	-2.713346	10.682456	10.722740	8.357649	8.394270	
86	-8.310544	-8.270261	5.316383	5.356666	0.540883	0.577504	-2.965675	-2.925392	10.661252	10.701535	8.315240	8.351861	
87	-8.289649	-8.249366	5.525332	5.565615	0.833411	0.870032	-3.174624	-3.134340	10.640357	10.680640	8.273450	8.310071	
88	-8.269076	-8.228793	5.731058	5.771341	1.121428	1.158049	-3.380350	-3.340066	10.619784	10.660068	8.232305	8.268926	
89	-8.248838	-8.208555	5.933437	5.973720	1.404759	1.441380	-3.582729	-3.542446	10.599546	10.639830	8.191829	8.228450	
90	-8.228947	-8.188664	6.132348	6.172631	1.683234	1.719856	-3.781640	-3.741357	10.579655	10.619939	8.152047	8.188668	
91	-8.209415	-8.169132	6.327671	6.367954	1.956686	1.993308	-3.976963	-3.936680	10.560123	10.600406	8.112982	8.149603	
92	-8.190253	-8.149970	6.519288	6.559571	2.224950	2.261571	-4.168580	-4.128297	10.540961	10.581245	8.074659	8.111280	
93	-8.171474	-8.131191	6.707083	6.747367	2.487864	2.524485	-4.356375	-4.316092	10.522182	10.562465	8.037100	8.073721	
94	-8.153088	-8.112804	6.890945	6.931228	2.745269	2.781891	-4.540237	-4.499953	10.503796	10.544079	8.000328	8.036949	
95	-8.135106	-8.094823	7.070760	7.111044	2.997012	3.033633	-4.720052	-4.679769	10.485814	10.526097	7.964365	8.000986	
96	-8.117540	-8.077257	7.246423	7.286706	3.242939	3.279560	-4.895715	-4.855432	10.468248	10.508531	7.929232	7.965853	
97	-8.100400	-8.060116	7.417826	7.458109	3.482903	3.519524	-5.067118	-5.026835	10.451108	10.491391	7.894952	7.931573	
98	-8.083695	-8.043412	7.584866	7.625149	3.716760	3.753381	-5.234158	-5.193875	10.434403	10.474687	7.861544	7.898165	
99	-8.067438	-8.027155	7.747443	7.787727	3.944368	3.980989	-5.396735	-5.356452	10.418146	10.458429	7.829028	7.865649	
100	-8.051636	-8.011353	7.905459	7.945743	4.165590	4.202211	-5.554751	-5.514468	10.402344	10.442627	7.797425	7.834046	
101	-8.036300	-7.996017	8.058819	8.099102	4.380294	4.416915	-5.708111	-5.667828	10.387008	10.427291	7.766753	7.803374	
102	-8.021439	-7.981156	8.207430	8.247713	4.588349	4.624970	-5.856722	-5.816439	10.372147	10.412430	7.737031	7.773652	
103	-8.007062	-7.966779	8.351203	8.391486	4.789631	4.826252	-6.000495	-5.960212	10.357770	10.398053	7.708277	7.744898	
104	-7.993177	-7.952894	8.490051	8.530334	4.984018	5.020639	-6.139343	-6.099060	10.343885	10.384168	7.680507	7.717128	
105	-7.979793	-7.939510	8.623890	8.664174	5.171393	5.208014	-6.273182	-6.232899	10.330501	10.370784	7.653739	7.690360	
106	-7.966918	-7.926635	8.752641	8.792924	5.351644	5.388265	-6.401933	-6.361650	10.317626	10.357909	7.627989	7.664610	
107	-7.954560	-7.914276	8.876225	8.916508	5.524661	5.561282	-6.525517	-6.485233	10.305268	10.345551	7.603273	7.639894	
108	-7.942725	-7.902442	8.994567	9.034851	5.690340	5.726961	-6.643859	-6.603576	10.293433	10.333717	7.579604	7.616226	
109	-7.931422	-7.891139	9.107598	9.147881	5.848583	5.885204	-6.756890	-6.716607	10.282130	10.322414	7.556999	7.593620	
110	-7.920657	-7.880374	9.215248	9.255531	5.999292	6.035913	-6.864540	-6.824256	10.271365	10.311649	7.535469	7.572090	
111	-7.910437	-7.870154	9.317452	9.357735	6.142378	6.179000	-6.966744	-6.926461	10.261145	10.301428	7.515028	7.551649	
112	-7.900767	-7.860484	9.414150	9.454433	6.277755	6.314376	-7.063442	-7.023159	10.251475	10.291758	7.495689	7.532310	
113	-7.891654	-7.851371	9.505283	9.545566	6.405340	6.441961	-7.154575	-7.114291	10.242362	10.282645	7.477463	7.514084	
114	-7.883103	-7.842819	9.590795	9.631079	6.525057	6.561678	-7.240087	-7.199804	10.233811	10.274094	7.460361	7.496982	
115	-7.875118	-7.834835	9.670636	9.710920	6.636834	6.673455	-7.319928	-7.279645	10.225826	10.266110	7.444393	7.481015	
