#    itr              mu            ntot            mtot            etot
       1      -21.000000        3.000000        3.000000     -200.248125
       2       -2.829000        0.299011       -0.299011       -1.842841
       3      -10.008000        0.299316        0.098022       -4.158283
       4       -9.122000        0.299072       -0.046509       -4.027416
       5       -8.892000        0.299072        0.032349       -4.004404
       6       -8.821000        0.299316       -0.028687       -4.001124
       7       -8.804000        0.299072        0.027466       -3.996644
       8       -8.803000        0.299072       -0.026489       -3.996683
       9       -8.797000        0.299072        0.026489       -3.996533
      10       -8.797000        0.299072       -0.026489       -3.996533
