#p	a1_up	a1_dn	b1_up	b1_dn	c1_up	c1_dn	a2_up	a2_dn	b2_up	b2_dn	c2_up	c2_dn	NaN
47	-10.749174	25.951952	-5.732122	30.969004	-14.020496	23.016552	5.743017	42.444144	10.760068	47.461194	9.172127	46.209175	
48	-10.727350	25.973775	-5.534513	31.166614	-13.710286	23.326762	5.545407	42.246534	10.738245	47.439370	9.132611	46.169660	
49	-10.705307	25.995819	-5.337134	31.363993	-13.397086	23.639962	5.348028	42.049155	10.716201	47.417327	9.092872	46.129921	
50	-10.683057	26.018069	-5.140435	31.560692	-13.081099	23.955949	5.151330	41.852456	10.693951	47.395077	9.052947	46.089995	
51	-10.660614	26.040512	-4.944915	31.756212	-12.762529	24.274519	4.955810	41.656936	10.671508	47.372634	9.012875	46.049923	
52	-10.637991	26.063134	-4.751131	31.949995	-12.441585	24.595464	4.762026	41.463153	10.648886	47.350012	8.972695	46.009743	
53	-10.615203	26.085922	-4.559709	32.141418	-12.118475	24.918573	4.570604	41.271730	10.626098	47.327223	8.932449	45.969497	
54	-10.592263	26.108862	-4.371352	32.329775	-11.793413	25.243635	4.382246	41.083373	10.603158	47.304284	8.892177	45.929226	
55	-10.569185	26.131940	-4.186854	32.514273	-11.466613	25.570436	4.197748	40.898875	10.580080	47.281206	8.851924	45.888972	
56	-10.545983	26.155142	-4.007115	32.694011	-11.138290	25.898758	4.018010	40.719137	10.556878	47.258004	8.811732	45.848781	
57	-10.522672	26.178454	-3.833154	32.867972	-10.808664	26.228385	3.844049	40.545176	10.533566	47.234692	8.771647	45.808696	
58	-10.499264	26.201861	-3.666122	33.035005	-10.477954	26.559094	3.677017	40.378143	10.510159	47.211285	8.731715	45.768763	
59	-10.475775	26.225350	-3.507312	33.193815	-10.146383	26.890665	3.518207	40.219334	10.486670	47.187795	8.691982	45.729030	
60	-10.452219	26.248907	-3.358168	33.342959	-9.814176	27.222872	3.369063	40.070189	10.463113	47.164239	8.652497	45.689545	
61	-10.428609	26.272517	-3.220276	33.480850	-9.481557	27.555491	3.231171	39.932298	10.439504	47.140629	8.613309	45.650357	
62	-10.404960	26.296165	-3.095350	33.605776	-9.148756	27.888293	3.106245	39.807372	10.415855	47.116981	8.574470	45.611518	
63	-10.381287	26.319838	-2.985185	33.715942	-8.816000	28.221048	2.996079	39.697206	10.392182	47.093307	8.536032	45.573080	
64	-10.357604	26.343522	-2.891590	33.809536	-8.483522	28.553526	2.902485	39.603612	10.368498	47.069624	8.498048	45.535097	
65	-10.333924	26.367201	-2.816295	33.884831	-8.151554	28.885495	2.827190	39.528317	10.344819	47.045944	8.460575	45.497623	
66	-10.310263	26.390863	-2.760821	33.940306	-7.820329	29.216719	2.771715	39.472842	10.321158	47.022283	8.423668	45.460716	
67	-10.286634	26.414491	-2.726349	33.974778	-7.490085	29.546964	2.737244	39.438370	10.297529	46.998655	8.387386	45.424434	
68	-10.263053	26.438073	-2.713601	33.987526	-7.161058	29.875991	2.724495	39.425622	10.273947	46.975073	8.351790	45.388838	
69	-10.239532	26.461594	2.733643	39.434770	-6.833487	30.203562	-2.722748	33.978378	10.250427	46.951552	8.316941	45.353989	
70	-10.216086	26.485039	2.764288	39.465415	-6.507612	30.529436	-2.753393	33.947733	10.226981	46.928106	8.282904	45.319952	
71	-10.192730	26.508396	2.815499	39.516625	-6.183675	30.853373	-2.804604	33.896523	10.203625	46.904750	8.249744	45.286793	
72	-10.169477	26.531649	2.885907	39.587033	-5.861920	31.175129	-2.875012	33.826115	10.180371	46.881497	8.217530	45.254578	
73	-10.146341	26.554785	2.973837	39.674964	-5.542590	31.494459	-2.962943	33.738184	10.157236	46.858361	8.186331	45.223379	
74	-10.123336	26.577789	3.077444	39.778570	-5.225931	31.811117	-3.066549	33.634578	10.134231	46.835357	8.156220	45.193268	
75	-10.100477	26.600649	3.194827	39.895954	-4.912191	32.124858	-3.183932	33.517194	10.111372	46.812497	8.127270	45.164318	
76	-10.077776	26.623349	3.324130	40.025257	-4.601617	32.435432	-3.313235	33.387891	10.088671	46.789797	8.099559	45.136607	
77	-10.055248	26.645878	3.463600	40.164726	-4.294458	32.742590	-3.452705	33.248422	10.066143	46.767268	8.073165	45.110214	
78	-10.032905	26.668220	3.611624	40.312751	-3.990965	33.046083	-3.600729	33.100398	10.043800	46.744926	8.048170	45.085218	
79	-10.010762	26.690364	3.766747	40.467873	-3.691389	33.345659	-3.755852	32.945275	10.021657	46.722782	8.024656	45.061705	
80	-9.988831	26.712294	3.927669	40.628795	-3.395981	33.641067	-3.916774	32.784353	9.999726	46.700852	8.002709	45.039757	
81	-9.967126	26.734000	4.093241	40.794367	-3.104993	33.932055	-4.082346	32.618781	9.978021	46.679146	7.982415	45.019464	
82	-9.945659	26.755466	4.262449	40.963576	-2.818677	34.218372	-4.251554	32.449572	9.956554	46.657680	7.963864	45.000912	
83	-9.924444	26.776681	4.434402	41.135528	-2.537283	34.499766	-4.423507	32.277620	9.935339	46.636465	7.947145	44.984193	
84	-9.903493	26.797632	4.608314	41.309441	-2.261061	34.775987	-4.597419	32.103707	9.914388	46.615514	7.932349	44.969397	
85	-9.882819	26.818307	4.783494	41.484620	-1.990262	35.046786	-4.772599	31.928528	9.893714	46.594839	7.919567	44.956615	
86	-9.862433	26.838692	4.959328	41.660455	-1.725130	35.311918	-4.948434	31.752693	9.873328	46.574454	7.908890	44.945938	
87	-9.842349	26.858776	5.135274	41.836401	-1.465910	35.571139	-5.124379	31.576747	9.853244	46.554369	7.900407	44.937456	
88	-9.822578	26.878548	5.310846	42.011972	-1.212839	35.824210	-5.299951	31.401176	9.833473	46.534598	7.894208	44.931256	
89	-9.803131	26.897994	5.485609	42.186736	-0.966150	36.070898	-5.474714	31.226412	9.814026	46.515152	7.890375	44.927423	
90	-9.784021	26.917104	5.659173	42.360299	-0.726071	36.310978	-5.648278	31.052849	9.794916	46.496042	7.888989	44.926037	
91	-9.765259	26.935867	5.831182	42.532309	-0.492818	36.544231	-5.820288	30.880839	9.776154	46.477279	7.890123	44.927171	
92	-9.746856	26.954270	6.001317	42.702443	-0.266598	36.770450	-5.990422	30.710705	9.757750	46.458876	7.893844	44.930892	
