# n = 4.1 U  = 20.0 J = 5.000 k = 128.0
#    itr              mu            ntot            mtot            etot
       1       72.764800        4.099976        0.726440      260.326305
       2       73.458800        4.100098        0.526550      262.112732
       3       73.803800        4.100098        0.400330      262.989254
       4       73.931900        4.100098        0.316833      263.439810
       5       74.019337        4.100342        0.263245      263.708615
       6       74.063337        4.100098        0.226990      263.849022
       7       74.076904        4.100342        0.202454      263.937516
       8       74.100404        4.100098        0.182800      263.991816
       9       74.113926        4.100342        0.167786      264.034049
      10       74.125191        4.100342        0.156067      264.079499
      11       74.140303        4.100342        0.147522      264.100612
      12       74.141521        4.100342        0.140930      264.115592
      13       74.139521        4.100098        0.136414      264.109700
      14       74.129521        4.100098        0.131531      264.100187
      15       74.134134        4.100342        0.127747      264.126624
      16       74.145492        4.100342        0.126282      264.149583
      17       74.150392        4.100098        0.123962      264.133855
      18       74.146592        4.100098        0.122009      264.121131
      19       74.145092        4.100098        0.120544      264.124083
      20       74.141992        4.100098        0.120544      264.126141
      21       74.141992        4.100098        0.120544      264.126141
