# n = 1.2 U  = 11.0 J = 2.750 k = 128.0
#    itr              mu            ntot            mtot            etot
       1        2.879200        1.200073        0.117310       -0.315350
       2        2.798755        1.200317        0.049316       -0.235773
       3        2.786003        1.200317        0.019775       -0.218613
       4        2.776203        1.200073        0.008667       -0.216714
       5        2.768803        1.200073        0.003296       -0.218957
       6        2.766203        1.200073        0.002319       -0.218853
       7        2.767403        1.200073        0.001343       -0.218822
       8        2.769879        1.200317        0.000977       -0.218138
       9        2.772733        1.200317        0.000977       -0.215465
      10        2.772733        1.200317        0.000977       -0.215465
